address|latitude|longtitude|name|country|phone|region
п. Акбердено, на въезде|54.607392|56.184276|02092 АЗС 92-У|RU|8-917-780-20-80|Республика Башкортостан
г. Салават, Северный въезд в город|53.41306619|55.928694611|02094 АЗС 94|RU|8-987-62-01-337|Республика Башкортостан
п. Рощенский, на въезде|53.753238359|55.943285023|02095 АЗС 95|RU|8-901-811-83-68|Республика Башкортостан
г. Уфа, ул. Гвардейская|54.7696|56.23244|02096 АЗС 96|RU|(34795)267-13-29|Республика Башкортостан
д. Карпова, Каменная переправа|54.65986|56.082891|02097 АЗС 97|RU|8-961-047-33-31|Республика Башкортостан
г. Уфа, ул. Сагита Агиша 2/1 |54.726325|55.991874|02098 АЗС 98|RU|89174813333|Республика Башкортостан
г. Уфа, ул. Ферина, 2|54.796924|56.13077|02127 АЗС 127|RU|(347)239-73-84|Республика Башкортостан
г. Уфа, Индустриальное ш., 114/1|54.797961|56.120165|02128 АЗС 128|RU|(347) 239-01-11|Республика Башкортостан
г. Уфа, пересеч. ул.Шафиева и пр.Октября|54.761172|56.01051|02129 АЗС 129|RU|89174401599|Республика Башкортостан
г. Уфа, ул. Маршала Жукова, 27|54.770605|56.056698|02130 АЗС 130|RU|""|Республика Башкортостан
г. Уфа, ул. Степана Кувыкина, 43|54.712109|56.000423|02131 АЗС 131|RU|(347)255-86-64|Республика Башкортостан
г. Уфа, ул. Комсомольская пер. с ул.Тихорецкой|54.751997|56.006921|02132 АЗС 132|RU|89378312080|Республика Башкортостан
п. Цветы Башкирии, 1466 км. Трасса М5|54.647224|55.920133|02134 АЗС 134|RU|89373003274|Республика Башкортостан
с. Чесноковка, ул. Аэропортная д.0|54.622518|55.928006|02136 АЗС 136|RU|(347)275-09-30|Республика Башкортостан
г. Уфа, Затонское шоссе|54.764519|55.945809|02137 АЗС 137|RU|""|Республика Башкортостан
с. Иглино, ул. Горького, 16|54.824234|56.391937|02199 АЗС 199|RU|(347)295-232-66|Республика Башкортостан
г. Нальчик, ул. Тарчокова, 58а|43.48628|43.57298|07080|RU|8(9889302636|Кабардино-Балкарская республика
"515 км трассы ""Кавказ"",  напротив АЗС №82"|43.92635|43.18253|07081|RU|8(8652)916550|Кабардино-Балкарская республика
"515 км трассы ""Кавказ"",  Зольский район, напротив АЗС №81"|43.9267|43.18425|07082|RU|8(8652)468181|Кабардино-Балкарская республика
г. Нальчик, ул. Осетинская, 1|43.4795|43.6263|07101|RU|8(8662)772504|Кабардино-Балкарская республика
г. Прохладный, ул. Головко 104|43.75687|44.02823|07158|RU|88663144903|Кабардино-Балкарская республика
"с. Чегем 2, ул. Баканское Шоссе, федеральная дорого ""Кавказ"" 442 км.+800 м."|43.577694|43.582282|07165|RU|8(988)9308053|Кабардино-Балкарская республика
г. Нальчик, ул. Кабардинская|43.50853|43.64212|07173|RU|988-930-27-86|Кабардино-Балкарская республика
г. Нальчик, ул. 2 Таманской дивизии|43.48425|43.64503|07177|RU|89889302763|Кабардино-Балкарская республика
Федеральная трасса кавказ 448 км, въезд со стороны г.Чегема|43.53273|43.6054|07186|RU|88662753900|Кабардино-Балкарская республика
г. Нарткала, Урванский р-н, ул. Красная, угол Тарчокова|43.53547|43.84355|07198|RU|866-35-2-81-19|Кабардино-Балкарская республика
г.Прохладный, улица Первомайская 3|43.76767|44.03485|07205|RU|86631-4-50-49|Кабардино-Балкарская республика
г.Терек, ул.Ленина, р-н Автовокзала|43.49231|44.15092|07206|RU|86632-4-11-28|Кабардино-Балкарская республика
село Анзорей, М-29, 643 км. (справа)|43.36316|43.96803|07235|RU|86639-9-52-27|Кабардино-Балкарская республика
г. Элиста, ул. Ленина, 270|46.31176|44.293667|08540|RU|8 (84722) 4-08-40, 4-08-39|Республика Калмыкия
г. Элиста, ул. Ленина, 199|46.313738|44.22821|08541|RU|8-918-349-0087|Республика Калмыкия
г. Элиста, Северная промышленная зона - 2, 29|46.337258|44.259936|08542|RU|8-918-349-0223|Республика Калмыкия
Республика Калмыкия, с. Кетченеры, 120-й км трассы Волгоград - Элиста, справа при движении от г. Волгоград.|47.29731|44.57156|08543|RU|8 (84735) 91694|Республика Калмыкия
Республика Калмыкия, с.Садовое, 90-й км трассы Волгоград - Элиста, справа при движении от Волгограда.|47.777005|44.534272|08544|RU|8 (84741) 21256|Республика Калмыкия
Республика Калмыкия, с. Малые Дербеты, 70-й км трассы Волгоград - Элиста, справа при движении от Волгограда/|47.983477|44.697136|08545|RU|8 (84734) 91399|Республика Калмыкия
г. Элиста, 316 км а/д Астрахань-Элиста-Ставрополь|46.285|44.169853|08546|RU|8-918-349-0435|Республика Калмыкия
г. Черкесск, ул. Гутякулова, 5|44.248708|42.056251|09094|RU|8(8782)211102|Карачаево-Черкесская республика
Аул Псыж, ул. Победы, 12, вьезд со стороны г.Невинномысска|44.21812|42.01922|09114|RU|8(87822)98995|Карачаево-Черкесская республика
г. Черкесск ул. Доватора, 71|44.20475|42.05955|09117|RU|87822-0-60-52|Карачаево-Черкесская республика
г. Черкесск, ул. Октябрьская, 87 - ул. Энгельса, 2|44.21537|42.03585|09184|RU|78782207776|Карачаево-Черкесская республика
г. Черкесск, ул. Набережная, 86|44.22922|42.0637|09185|RU|8 (8782) 28-13-10|Карачаево-Черкесская республика
г. Карачаевск, ул. Крымшамхалова, 21а|43.78585|41.91158|09197|RU|89897897674|Карачаево-Черкесская Республика
ст. Зеленчукская а/д Черкесск-Архыз 23+714 |43.855175|41.611987|09265|RU|989-783-58-39, 87878-5-36-00|Карачаево-Черкесская Республика
г. Минск, ул. Лещинского, д.2|53.907319|27.454727|1|BY|(86392) 7-79-01|Ростовская область
Минская обл., Солигорский р-н, г. Солигорск, ул. Кольцевая, 1|52.794199|27.516266|10|BY|-|Минская область
Лахденпохский р-н., г. Лахденпохья, Ленинградское ш., д. 58 А (справа при движении от г. Сортавала в СПб)|61.51733|30.142439|10004|RU|88145022626|Республика Карелия
Сортавальский р-н., г. Сортавала, Выборгское ш., д. 28|61.69246|30.67328|10010|RU|88143047671|Республика Карелия
Петрозаводск, Лесной пр., 57|61.78408|34.3026|10016|RU|8 (8142) 72-51-29|Республика Карелия
Сортавальский р-н., п. Пуйккола, Сортавальское ш., трасса Сортавала-Вяртсиля|62.047945|30.681598|10032|RU|88143034540|Республика Карелия
"Прионежский р-н, п. Новая Вилга, Пряжинское шоссе (на пересечении с а/м ""Кола"")"|61.820778|34.145612|10191|RU|8-921-01-01-326|Республика Карелия
Петрозаводск, Лососинское ш., д. 48|61.76119|34.30073|10199|RU|88142564153|Республика Карелия
Петрозаводск,Шуйское шоссе, д. 3|61.80983|34.288885|10242|RU|'8 (8142) 56-90-55, 8 (8142) 56-96-63 '|Республика Карелия
Петрозаводск, ул. Правды, д. 23|61.775482|34.393428|10243|RU|88142573518|Республика Карелия
г. Сегежа, ул. Северная|63.740245|34.3016|10256|RU|89212240982|Республика Карелия
 п. Ново-Талицы, 153км, автодорога Иваново-Тейково, у поста ГИБДД|57.007237|40.851961|10 НП|RU|(930) 355-50-76|Ивановская область
Брестская обл., Брестский р-н, М1, 25-й км, 2|52.122855|23.886779|11|BY|-|Брестская область
г. Сыктывкар, ул. Гаражная, 1/2|61.65783|50.81146|11301|RU|(8212) 29-36-28|Республика Коми
г. Воркута, ул. Бульвар Пищевиков 3 Б|67.49325|64.0629|11303|RU|(82151) 4-17-93; (82151) 7-26-34|Республика Коми
84 км трассы Сыктывкар – Киров, справа при движении от г. Сыктывкара, около с. Визинга, ул. Оплеснина, 49|61.06287|50.09697|11304|RU|(82131) 9-14-69|Республика Коми
180 км трассы Сыктывкар – Киров, справа при движении от г.Сыктывкара, около с.Объячево|60.3284|49.64257|11305|RU|(82133) 2-13-53|Республика Коми
г. Инта, ул. Мартовская|66.037124|60.146293|11306|RU|8 (82145) 6-52-00|Республика Коми
г. Троицко-Печорск, с левой стороны на въезде в город|62.7216|56.14333|11307|RU|(82138) 9-74-91|Республика Коми
108 км трассы Ухта – Троицко-Печорск, справа при движении от г. Ухты, на въезде в с. Вой-Вож|62.89638|54.95062|11308|RU|9129660728|Республика Коми
г. Емва, ул. Дорожная, 19|62.5709|50.85202|11309|RU|(82139) 2-23-32|Республика Коми
93 км трассы Сыктывкар - Усть-Кулом, справа при движении от с.Усть-Кулом, около с.Сторожевск|61.968417|52.344927|11310|RU|(82136) 9-11-15|Республика Коми
с. Усть-Кулом, на въезде в село слева|61.69538|53.75216|11311|RU|(82137) 9-47-02; (82137) 9-23-05|Республика Коми
г. Сосногорск, ул. Лесная, при въезде в г.Сосногорск с левой стороны |63.579163|53.939115|11313|RU|(82149) 5-47-03|Республика Коми
г. Воркута, ул. Чехова, 2 А|67.5323|64.09322|11316|RU|(82151) 7-80-25|Республика Коми
270 км трассы Сыктывкар – Киров, справа при движении от г.Кирова, около с.Летка|59.59972|49.4063|11317|RU|(82133) 4-11-42|Республика Коми
г. Печора, ул. Островского, 63|65.12933|57.18058|11318|RU|(82142) 5-23-11|Республика Коми
с. Койгородок,  180 км от г. Сыктывкара|60.457581|51.01158|11319|RU|(82132) 9-13-09|Республика Коми
г. Сыктывкар, п. Эжва, ул.Калинина, 8/1|61.8107|50.73635|11320|RU|(8212) 627718|Республика Коми
п. Нижний Одес, ул. Промысловая, 7|63.64747|54.84533|11322|RU|912-941-46-60    (82149) 2-22-91|Республика Коми
с. Усть-Цильма, п. Сельхозтехника, 74 Б|65.42552|52.18067|11323|RU|(82141) 9-16-61|Республика Коми
Ухта, п. Ярега ул. Заречная, 1 Б|63.43415|53.54725|11324|RU|9129661058|Республика Коми
г. Микунь, ул. Мечникова, 77|62.34188|50.07177|11325|RU|(82134) 3-12-97|Республика Коми
г. Воркута, ул Автозаводская, 12 |67.49813|64.0931|11326|RU|(82151) 6-12-41|Республика Коми
г. Сыктывкар, м. Дырнос, 141|61.679526|50.73835|11327|RU|(8212) 43-87-65|Республика Коми
г. Инта, п. Западный, ул. Геологическая, 6|66.025452|60.082757|11329|RU|(82145) 6-29-73|Республика Коми
г. Ухта, VII квартал северо - западного р-на|63.57115|53.635824|11330|RU|(82147) 5-06-36|Республика Коми
г.Ухта, ул. Севастопольская, 16 |63.56789|53.70311|11332|RU|(82147) 4-58-62|Республика Коми
140 км трассы Сыктывкар-Ухта, г. Емва, Магистральный пр-д 3, объездная дорога, справа при движении от г.Сыктывкара|62.618274|50.936689|11333|RU|(82139) 2-28-01|Республика Коми
п. Комсомольск-на-Печоре, ул.Дорожная, 3|62.13473|56.59242|11335|RU|9129660828|Республика Коми
г. Вуктыл, промзона, ул.Таежная, 9|63.835076|57.305646|11336|RU|(82146) 2-24-03; (82146)2-21-95|Республика Коми
п. Усогорск, ул. Дружбы, 54 |63.4243|48.72369|11337|RU|(82135) 5-19-89|Республика Коми
п. Ижма, ул.Советская, 150|65.018541|53.920428|11339|RU|(82140) 9-44-75|Республика Коми
п. Щельяюр, ул. Дорожная, 25|65.321854|53.382555|11340|RU|(82140) 9-19-77|Республика Коми
38 км трассы Сыктывкар – Киров, справа при движении от г.Кирова, около с.Пажга|61.39032|50.56802|11341|RU|(82130) 7-82-30|Республика Коми
г. Сыктывкар, местечко Човью, ул.1-ая Промышленная, 32|61.73015|50.76275|11342|RU|(8212) 28-62-45|Республика Коми
47 км трассы Сыктывкар - Усть-Кулом, справа при движении от г.Сыктывкара, около с.Корткерос|61.803658|51.531194|11343|RU|(82136) 9-23-05|Республика Коми
г.Усинск, ул. Промышленная, 4|66.01815|57.53938|11345|RU|'(82144) 5-64-69,  (82144) 2-04-22'|Республика Коми
230 км трассы Сыктывкар-Ухта, п. Чиньяворык, ул. Железнодорожная, 2 А, справа при движении от г. Ухты|63.21532|52.68907|11346|RU|(82139) 2-67-90|Республика Коми
г. Ухта, ул. Южная, 1|63.5552|53.71712|11347|RU|(82147) 5-26-87|Республика Коми
'г. Сыктывкар, Сысольское ш., 90  (на въезде в г.Сыктывкар со стороны г.Кирова, слева)'|61.6419|50.81652|11350|RU|(8212) 21-04-19|Республика Коми
г. Усинск, ул. Промышленная улица, 21|65.99493|57.54368|11353|RU|(82144) 4-74-75|Республика Коми
г.Сосногорск, ул. Коммунальная, 12|63.59884|53.89407|11354|RU|912-942-75-97|Республика Коми
"г. Сыктывкар, ул.Петрозаводская, 16, через дорогу от Торгового центра ""Орбита"""|61.68857|50.82338|11355|RU|(8212) 51-20-16|Республика Коми
г. Печора, п.Изъяю, ул.Промышленная, 2, на левом берегу р. Печора, с левой стороны по дороге на нефтебазу|65.11657|56.99932|11356|RU|(82142) 9-98-72|Республика Коми
г. Сыктывкар, ул.Пермская, 30, местечко Кочпон|61.6436|50.87337|11358|RU|(8212) 22-06-00|Республика Коми
г. Сыктывкар, п.Краснозатонский, ул.Трудовая, 40|61.66466|50.96883|11359|RU|(8212) 23-63-74|Республика Коми
 п. Воргашор, ул. Фасадная, 6 (Новый арендатор, терминал снят)|67.588|63.81007|11360|RU|(82151) 7-68-52|Республика Коми
27 км трассы Усинск-Харьягинск г.Усинск, местечко Головные сооружения, справа при движении из п. Харьягинск|66.154863|57.332173|11361|RU|(82144) 5-66-31|Республика Коми
108 км трассы Усинск-Харьягинск, Усинский р-н, п. Верхнеколвинск , местечко 51 Буровая, справа при движении из п.Харьягинск|66.671373|56.996642|11364|RU|(82144) 5-78-06|Республика Коми
г.Усинск, ул.Нефтяников, 8|65.9933|57.5174|11365|RU|(82144) 5-72-26|Республика Коми
г. Ухта, мкр. Дальний, Сосногорское шоссе, 7|63.546486|53.796814|11366|RU|(82147) 5-71-01|Республика Коми
г.Печора, ул.Железнодорожников|65.139529|57.178116|11369|RU|912-943-70-63|Республика Коми
г. Сыктывкар, пр. Бумажников, д. 72, м. Емваль|61.77422|50.75146|11379|RU|(8212) 62-40-44|Республика Коми
г. Сыктывкар, Сысольское ш., 55|61.63582|50.81303|11389|RU|(8212) 31-63-64|Республика Коми
г. Сыктывкар, Ухтинское ш., 14|61.804559|50.730896|11396|RU|(8212) 65-85-79|Республика Коми
г. Иваново, ул. Павла Большевикова, 3|56.96345|41.03445|11 НП|RU|(930) 345-98-71|Ивановская область
д. Горка, Череповецкий р-он|59.181283|37.942183|11 Э|RU|(8202) 69-34-03|Вологодская область
Брестская обл., Брестский р-н, М1, 25-й км, 1|52.125526|23.891097|12|BY|-|Брестская область
г. Йошкар-Ола, ул.Кирова,  д.2А|56.627652|47.927945|12003|RU|(8362) 560000|Республика Марий Эл
п.Мари-Турек, ул.Комсомольская, д.78, Сернурский тракт, трасса Йошкар-Ола - Сернур - Мари-Турек, 129 км от г.Йошкар-Олы|56.78416|49.5986|12008|RU|(83634) 93597|Республика Марий Эл
Федеральная дорога Вятка 87км |56.59515|47.8886|12009|RU|(8362) 68-82-01|Республика Марий Эл
г. Йошкар-Ола, ул. Фестивальная, д.70а|56.642916|47.83176|12010|RU|(8362) 465640|Республика Марий Эл
п. Морки, Моркинский р-он, ул.Заозерная,д.67|56.42875|48.9749|12013|RU|(83635) 9-14-00|Республика Марий Эл
Новоторъяльский р-он, автодорога Йошкар-Ола-Нурсола-Новый Торъял, 84км|56.98589|48.743583|12014|RU|(8236) 9-26-21|Республика Марий Эл
п.Советский, 39 км автодороги Йошкар-Ола - Уржум|56.74735|48.44143|12019|RU|(83638) 95697|Республика Марий Эл
г. Звенигово, ул. Охотина в 60 метрах по направлению на северо-восток от дома №4|55.9894|48.00895|12022|RU|(83645) 71516|Республика Марий Эл
г. Йошкар-Ола, ул.К.Маркса, д.132|56.62265|47.888216|12023|RU|(8362) 45-29-50|Республика Марий Эл
г. Волжск, ул.Кошкина, при въезде в город со стороны г.Казани рядом с постом ГИБДД|55.845216|48.404516|12031|RU|(83631) 4-58-74|Республика Марий Эл
п. Красногорск, Звениговский р-он, федеральная  автодорога Йошкар-Ола-Зеленодольск, км 65+120 слева|56.1453|48.31526|12032|RU|(83645)6-53-08|Республика Марий Эл
"5 км до г. Кокшайск, внутри транспортной развязки кольцевого типа на км. 40+636 (слева) федеральной дороги ""Вятка"""|56.188727|47.789961|12040|RU|8 985 791 21 94|Республика Марий Эл
с Помары, ул. Луксум, 7|55.943921|48.372095|12844|RU|8 961 378 38 79|Республика Марий Эл
г. Волжск, ул. Йошкар-Олинское шоссе, 16|55.881473|48.360096|12845|RU|8 961 378 38 47|Республика Марий Эл
г. Иваново, ул. Тимирязева, 60|57.026409|40.965845|12 НП|RU|89303555079|Ивановская область
Брестская обл., г. Брест, ул. Карьерная, 11|52.065199|23.757677|13|BY|-|Брестская область
г. Саранск, ул. Лодыгина, д.10А|54.220963|45.183201|13201|RU|8 8342 29 35 35|Республика Мордовия
г. Саранск, ул. Волгоградская|54.184352|45.205874|13202|RU|8 83425 5 91 91|Республика Мордовия
Старошайговский р-н, с.Старое-Шайгово, Р180, 51 км|54.325028|44.481357|13203|RU|8 83432 2 11 86|Республика Мордовия
Ромодановский р-н, п. Ромоданово, Ичалковское шоссе, д.6|54.426619|45.316125|13204|RU|8 83438 2 11 52|Республика Мордовия
г. Инсар, ул. Пугачева, д.1А|53.872381|44.383672|13205|RU|8 83449 2 11 38|Республика Мордовия
Чамзинский р-н, р.п. Комсомольский, ул. Заводская, д.4|54.446142|45.832956|13206|RU|8 83437 3 13 77|Республика Мордовия
с. Дубенки , Дубенский район, Р178, 84 км|54.424419|46.309878|13208|RU|8 83447 2 12 75|Республика Мордовия
г. Саранск, ул. Осипенко, д.8б|54.153422|45.16139|13210|RU|8 83423 5 78 12|Республика Мордовия
Торбеевский р-н, пгт. Торбеево|54.085609|43.219035|13211|RU|8 83456 2 01 35|Республика Мордовия
Атяшевский р-н, р.п. Атяшево, пер. Совецкий, д. 14А|54.594447|46.085895|13212|RU|8 83434 2 30 64|Республика Мордовия
п. Зубова-Поляна, Зубово-Полянский район|54.078579|42.805137|13213|RU|8 83458 2 28 70|Республика Мордовия
Темниковский р-н, г. Темников, ул. Интернациональная|54.64255|43.22558|13214|RU|8 83445 2 49 82|Республика Мордовия
Ковылкинский р-н, г. Ковылкино, ул. Королева|54.028154|43.913181|13215|RU|8 960 334 00 75|Республика Мордовия
Болшеигнатовский р-н, с. Большое Игнатово, ул. Советская, д.55|55.006912|45.55108|13216|RU|8 83442 2 11 73|Республика Мордовия
г. Саранск, ул. Косарева, д.130А|54.21028|45.268491|13217|RU|8 8342 55 97 44|Республика Мордовия
г. Саранск,  ул. Севастопольская, 128, стр 1|54.202975|45.226896|13218|RU|8 8342 55 92 42|Республика Мордовия
г. Саранск, ул. Рабочая, 47 А,  стр.1, Ленинский р-он.|54.185278|45.196434|13219|RU|8 8342 24 04 92|Республика Мордовия
г. Саранск, Лямбирское ш., 2 км, трасса Н.Новгород-Саратов, слева по ходу движения|54.235861|45.151437|13220|RU|8 8342 76 51 05|Республика Мордовия
г. Краснодар, ул. Захарова, 5|45.0072|38.96802|23098|RU|8 (861) 240-94-54|Краснодарский край
г. Саранск, ул. Победы, 16, Пролетарский р-он. |54.208554|45.111672|13221|RU|8 8342 72 97 17|Республика Мордовия
Саранск, ул. Строительная, 11 А, стр. 1, Пролетарский р-он|54.205304|45.163975|13222|RU|8 960 333 90 83|Республика Мордовия
г. Саранск, 2 км Александровского ш., Пролетарский р-он.  |54.23901|45.230345|13223|RU|8 8342 29 40 67|Республика Мордовия
п. Чамзинка, Республиканская, 1, справа при движении в сторону г.Ульяновска|54.412537|45.789277|13224|RU|8 960 334 00 21|Республика Мордовия
Ичалковский район, п..Рождествено, ул.Полевая, 23|54.678156|45.29002|13225|RU|8 960 333 93 90|Республика Мордовия
г. Саранск  р.п. Луховка, ул. Красная,  а/д Саранск-Кочкурово|54.176477|45.214707|13226|RU|8 960 333 84 58|Республика Мордовия
г. Рузаевка, ул. Л.Толстого, д.9|54.079493|44.934715|13227|RU|8 960 334 00 52|Республика Мордовия
г. Иваново, Писцово|57.168965|40.522835|13 НП|RU|89303453895|Ивановская область
